teamCode,total_shots,hd_shots,total_xGA,goals,hd_shot_pct,xGA_per_shot
WPG,22,3,2.54162052002353,5,13.6,0.1155
BUF,124,15,12.75322143715905,12,12.1,0.1028
TBL,105,12,9.42989860316729,15,11.4,0.0898
VGK,71,8,6.07189141614601,4,11.3,0.0855
OTT,107,12,7.4783474324054104,7,11.2,0.0699
NSH,96,10,7.7373970772341,2,10.4,0.0806
STL,64,6,5.0025918427938,7,9.4,0.0782
NJD,109,10,8.27269719972296,6,9.2,0.0759
WSH,132,12,9.10852823762278,6,9.1,0.069
CBJ,116,10,8.29381264906587,9,8.6,0.0715
LAK,81,7,4.3395096032987,6,8.6,0.0536
VAN,95,8,5.43895153790921,5,8.4,0.0573
SEA,62,5,4.63029480339999,6,8.1,0.0747
ANA,87,7,5.904745842235,4,8.0,0.0679
FLA,126,10,8.61188860084604,6,7.9,0.0683
TOR,125,9,8.033540174866,9,7.2,0.0643
EDM,76,5,4.4441787498239,4,6.6,0.0585
UTA,91,6,6.90582380731925,8,6.6,0.0759
NYR,166,11,11.999101842034591,18,6.6,0.0723
DET,47,3,3.07489549234219,3,6.4,0.0654
BOS,79,5,4.85005480245416,7,6.3,0.0614
CHI,70,4,4.28590073083234,2,5.7,0.0612
PIT,168,9,12.09743457070711,16,5.4,0.072
CGY,75,4,4.63738134026656,7,5.3,0.0618
DAL,78,4,5.46097978022353,6,5.1,0.07
COL,95,4,5.4855792776403005,6,4.2,0.0577
CAR,172,7,10.84929062594188,9,4.1,0.0631
MIN,78,2,3.57145354733206,3,2.6,0.0458
MTL,79,2,4.7206087352905,5,2.5,0.0598
NYI,126,2,7.1274529258258,10,1.6,0.0566
SJS,65,0,3.38795533736482,2,0.0,0.0521
