shotID,game_id,season,x_map,y_map,arenaAdjustedShotDistance,shotAngle,shotType,danger_zone,danger_order,outcome,goal,xGoal,shotWasOnGoal,shotRebound,shotRush,teamCode,homeTeamCode,awayTeamCode,shooterName,goalieNameForShot,homeSkatersOnIce,awaySkatersOnIce,period
913,20012,2025,64.0,21.0,33.0,40.0302592719,WRIST,Low Danger,1,Save,0,0.031187,1,0,0,FLA,FLA,PHI,Sam Bennett,Dan Vladar,5,5,1
914,20012,2025,71.0,24.0,30.0,53.1301023542,SNAP,Medium Danger,2,Save,0,0.0778169,1,0,0,FLA,FLA,PHI,Mackie Samoskevich,Dan Vladar,5,4,1
916,20012,2025,85.0,12.0,13.0,71.5650511771,BACK,Low Danger,1,Missed,0,0.0493158074504,0,0,0,FLA,FLA,PHI,Sam Reinhart,Dan Vladar,4,4,1
917,20012,2025,78.0,-23.0,25.0,-64.4400348282,WRIST,Low Danger,1,Missed,0,0.0389471,0,0,0,FLA,FLA,PHI,Sam Reinhart,Dan Vladar,4,4,1
918,20012,2025,86.0,-9.0,9.48683298051,-71.5650511771,WRIST,Medium Danger,2,Save,0,0.145043,1,1,0,FLA,FLA,PHI,Anton Lundell,Dan Vladar,4,4,1
919,20012,2025,79.0,0.0,10.0,0.0,SLAP,High Danger,3,Save,0,0.328168,1,1,0,FLA,FLA,PHI,Sam Reinhart,Dan Vladar,4,4,1
923,20012,2025,73.0,-27.0,31.0,-59.3493320429,WRIST,Low Danger,1,Missed,0,0.0200718,0,0,0,FLA,FLA,PHI,Sam Bennett,Dan Vladar,5,5,1
924,20012,2025,76.0,26.0,29.0,63.4349488229,SLAP,Low Danger,1,Save,0,0.0267207,1,0,0,FLA,FLA,PHI,A.J. Greer,Dan Vladar,5,5,1
927,20012,2025,77.0,-6.0,13.0,-26.5650511771,TIP,Medium Danger,2,Save,0,0.0991112140937,1,0,0,FLA,FLA,PHI,Jonah Gadjovich,Dan Vladar,5,5,1
931,20012,2025,49.0,14.0,42.0,19.2900462192,SNAP,Low Danger,1,Save,0,0.0312857,1,0,0,FLA,FLA,PHI,Gustav Forsling,Dan Vladar,5,5,1
933,20012,2025,50.0,24.0,46.0,31.6075022462,WRIST,Low Danger,1,Save,0,0.0165443,1,0,0,FLA,FLA,PHI,Niko Mikkola,Dan Vladar,5,5,1
934,20012,2025,58.0,39.0,50.0,51.5198017517,WRIST,Low Danger,1,Save,0,0.00854198,1,0,0,FLA,FLA,PHI,Anton Lundell,Dan Vladar,5,5,1
935,20012,2025,56.0,18.0,38.0,28.610459666,WRIST,Low Danger,1,Missed,0,0.0429622,0,0,0,FLA,FLA,PHI,Evan Rodrigues,Dan Vladar,5,5,1
936,20012,2025,78.0,15.0,19.0,53.7461622626,SNAP,Low Danger,1,Save,0,0.0662718,1,0,0,FLA,FLA,PHI,Mackie Samoskevich,Dan Vladar,5,5,1
937,20012,2025,34.0,2.0,55.0,2.08256527973,WRIST,Low Danger,1,Save,0,0.0319808,1,0,0,FLA,FLA,PHI,Seth Jones,Dan Vladar,5,4,1
938,20012,2025,58.0,20.0,37.0,32.8285417914,SNAP,Low Danger,1,Save,0,0.0542469,1,0,0,FLA,FLA,PHI,Carter Verhaeghe,Dan Vladar,5,4,1
939,20012,2025,88.0,27.0,27.0,87.8789036033,SNAP,Low Danger,1,Missed,0,0.029027,0,0,0,FLA,FLA,PHI,Carter Verhaeghe,Dan Vladar,5,5,1
940,20012,2025,35.0,-36.0,65.0,-33.690067526,WRIST,Low Danger,1,Save,0,0.00730065,1,0,0,FLA,FLA,PHI,Anton Lundell,Dan Vladar,5,5,1
944,20012,2025,48.0,20.0,46.0,26.0033458445,WRIST,Low Danger,1,Save,0,0.0291311,1,0,0,FLA,FLA,PHI,Brad Marchand,Dan Vladar,5,4,2
945,20012,2025,83.0,-7.0,9.21954445729,-49.398705355,TIP,Low Danger,1,Missed,0,0.067615811305,0,0,0,FLA,FLA,PHI,Sam Reinhart,Dan Vladar,5,4,2
946,20012,2025,36.0,-19.0,56.0,-19.7222777644,WRIST,Low Danger,1,Save,0,0.0248727,1,0,0,FLA,FLA,PHI,Seth Jones,Dan Vladar,5,4,2
947,20012,2025,57.0,23.0,39.0,35.7066914006,WRIST,Low Danger,1,Save,0,0.0322832,1,0,0,FLA,FLA,PHI,Sam Bennett,Dan Vladar,5,4,2
948,20012,2025,61.0,-11.0,30.0,-21.4477363271,WRIST,Medium Danger,2,Goal,1,0.0701618,1,0,0,FLA,FLA,PHI,Anton Lundell,Dan Vladar,5,4,2
949,20012,2025,53.0,11.0,38.0,16.990823292,WRIST,Low Danger,1,Missed,0,0.0441006,0,0,0,FLA,FLA,PHI,Sam Bennett,Dan Vladar,5,4,2
950,20012,2025,62.0,7.0,28.0,14.5344550805,WRIST,Medium Danger,2,Save,0,0.0852726,1,0,0,FLA,FLA,PHI,Sam Reinhart,Dan Vladar,5,4,2
951,20012,2025,67.0,-20.0,30.0,-42.2736890061,SNAP,Medium Danger,2,Missed,0,0.0786523,0,0,0,FLA,FLA,PHI,Mackie Samoskevich,Dan Vladar,5,4,2
952,20012,2025,50.0,-30.0,49.0,-37.5685920288,WRIST,Low Danger,1,Save,0,0.0175507,1,0,0,FLA,FLA,PHI,Aaron Ekblad,Dan Vladar,5,4,2
953,20012,2025,65.0,11.0,26.0,24.6235647862,WRIST,Low Danger,1,Save,0,0.0644209,1,0,0,FLA,FLA,PHI,Brad Marchand,Dan Vladar,5,5,2
954,20012,2025,40.0,-32.0,59.0,-33.1469958323,WRIST,Low Danger,1,Save,0,0.00886653,1,0,0,FLA,FLA,PHI,Brad Marchand,Dan Vladar,5,5,2
956,20012,2025,31.0,-40.0,70.0,-34.5922886875,SNAP,Low Danger,1,Missed,0,0.0090648,0,0,0,FLA,FLA,PHI,Seth Jones,Dan Vladar,5,5,2
958,20012,2025,32.0,30.0,64.0,27.7585406011,SLAP,Low Danger,1,Save,0,0.012391,1,0,0,FLA,FLA,PHI,Gustav Forsling,Dan Vladar,5,5,2
959,20012,2025,68.0,-30.0,37.0,-55.0079798014,WRIST,Low Danger,1,Missed,0,0.0112054,0,0,0,FLA,FLA,PHI,Evan Rodrigues,Dan Vladar,5,5,2
960,20012,2025,81.0,-3.0,8.54400374532,-20.5560452196,BACK,Medium Danger,2,Save,0,0.107904737162,1,0,0,FLA,FLA,PHI,Brad Marchand,Dan Vladar,5,5,2
961,20012,2025,57.0,16.0,36.0,26.5650511771,SNAP,Medium Danger,2,Save,0,0.10491,1,1,0,FLA,FLA,PHI,Niko Mikkola,Dan Vladar,5,5,2
966,20012,2025,66.0,-6.0,24.0,-14.6208739886,WRIST,Medium Danger,2,Missed,0,0.101691,0,0,0,FLA,FLA,PHI,Sam Reinhart,Dan Vladar,5,5,2
967,20012,2025,73.0,27.0,31.0,59.3493320429,SNAP,Low Danger,1,Missed,0,0.0273177,0,0,0,FLA,FLA,PHI,Eetu Luostarinen,Dan Vladar,5,5,2
973,20012,2025,14.0,41.0,85.0,28.6639571103,BACK,Low Danger,1,Save,0,0.00779356990169,1,0,0,FLA,FLA,PHI,Anton Lundell,Dan Vladar,5,5,2
